Release Year,Origin/Ethnicity,Director,Cast
2005,Telugu,Krishna Vamsi,"Prabhas, Asin Thottumkal, Charmme"
2005,Telugu,Ravi Babu,"Tarun, Aarti Agarwal"
2005,Telugu,,Rajendra Prasad
2005,Telugu,V. V. Vinayak,"Allu Arjun, Gowri Munjal, Prakash Raj"
2005,Telugu,K. Raghavendra Rao,"Venkatesh, Genelia D'Souza, Shriya Saran, Prakash Raj"
2005,Telugu,S. V. Krishna Reddy,Venu Madhav
2005,Telugu,Surender Reddy,"Kalyan Ram, Sindhu Tolani, Ashish Vidyarthi, Brahmanandam"
2005,Telugu,Boyapati Srinu,"Ravi Teja, Meera Jasmine"
2005,Telugu,B. Gopal,"Jr. NTR, Ameesha Patel, Sameera Reddy"
2005,Telugu,Chandra Sekhar Yeleti,"Jagapathi Babu, Charmme, Shashank"
2005,Telugu,Shekkar Suri,"Rajiv Kanakala, Ghazal Srinivas, Richard Rishi, Sherlyn Chopra"
2005,Telugu,Puri Jagannadh,"Akkineni Nagarjuna, Sonu Sood, Anushka Shetty, Ayesha Takia"
2005,Telugu,K B Anand,"Sreeram, Gopichand Lagadapati"
2005,Telugu,Trivikram Srinivas,"Mahesh Babu, Trisha Krishnan"
2005,Telugu,Paruchuri Murali,"Gopichand, Gowri Pandit, Sayaji Shinde"
2005,Telugu,Radha Mohan,"Ravi Krishna, Gopika, Revathy, Krishna"
2005,Telugu,Venky,"Shriya Saran, Raja, Brahmanandam"
2005,Telugu,K. Raghavendra Rao,"Nitin, Trisha Krishnan, Rathi"
2005,Telugu,Adi,"Mohan Babu, Charmy Kaur, Prakash Raj, Abbas"
2005,Telugu,S. S. Rajamouli,"Prabhas, Shriya Saran, Bhanupriya"
2005,Telugu,Jayanth C. Paranjee,"Nandamuri Balakrishna, Charmy Kaur, Katrina Kaif"
2005,Telugu,Rasool Ellore,"Ravi Teja, Shriya Saran, Prakash Raj"
2005,Telugu,Venkat Kuchipudi,"Navdeep, Poonam Bajwa, Brahmanandam"
2005,Telugu,Deva Kaushik,"Raja, Parvati Melton"
2005,Telugu,Dasaradh,"Manoj Manchu, Tamanna"
2005,Telugu,V. Samudra,"Sumanth, Srihari, Anushka Shetty"
2005,Telugu,K. Vijaya Bhaskar,"Chiranjeevi, Sameera Reddy, Bhoomika Chawla, Arbaaz Khan"
2005,Telugu,P A Arun Prasad,"Navdeep, Sindhu Tolani, K. Vishwanath, Bhanupriya"
2006,Telugu,Y.V.S Chowdary,"ram, ileana d'cruz"
2006,Telugu,Raghava Lawrence,"raghava lawrence, prabhu deva, raja, charmme, kamalini mukherjee"
2006,Telugu,Sivakumar Ananth,"siddharth narayan, charmme, sada"
2006,Telugu,Harish Shankar,"ravi teja, jyothika"
2006,Telugu,Anil Krishna,kalyan ram
2006,Telugu,Arjun,"arjun, jagapati babu"
2006,Telugu,Satish Kasetty,"d. ramanaidu, kalyani"
2006,Telugu,Muppalaneni Shiva,"rajasekhar, brahmanandam, kondavalasa lakshmana rao"
2006,Telugu,Ravi Babu,"allari naresh, madhu sharma, shashank, bramhanandam, ravi babu"
2006,Telugu,Prabhu Deva,"prabhas, trisha krishnan, charmme"
2006,Telugu,S. V. Krishna Reddy,"srikanth, rajendra prasad, sindhu tolani"
2006,Telugu,Puri Jagannadh,"mahesh babu, ileana d'cruz, prakash raj"
2006,Telugu,Dharani,"pawan kalyan, reema sen, meera chopra, mukesh rishi"
2006,Telugu,Priyadarshini Ram,"priyadarshini ram, viswendar reddy, radhika joshi"
2006,Telugu,E. V. V. Satyanarayana,allari naresh
2006,Telugu,Sekhar Kammula,"sumanth, kamalinee mukherjee"
2006,Telugu,Konda,"rajiv kanakala, raja, saloni aswani, siva balaji"
2006,Telugu,S. S. Rajamouli,"ravi teja, anushka shetty"
2006,Telugu,Suresh Krishna,"mohanlal, mammootty, nedumudi venu, bharath gopi"
2006,Telugu,Neelakanta,"ajay, kota srinivasa rao"
2006,Telugu,Surender Reddy,"jr. ntr, sameera reddy, sonu sood"
2006,Telugu,Gangaraju Gunnam,"suhasini, sharwanand, shriya reddy"
2006,Telugu,Bhaskar,"siddharth, genelia d'souza, prakash raj, jayasudha"
2006,Telugu,P. Lakshmi Narayana,"sunil, arti agarwal"
2006,Telugu,Ram Gopal Varma,"mohit ahlawat, priyanka kothari"
2006,Telugu,A. R. Murugadoss,"chiranjeevi, trisha krishnan, khushboo"
2006,Telugu,Rajnesh Domalpalli,"indira amperiani, bhaskara s. narayanan"
2006,Telugu,V. N. Aditya,"nagarjuna, shriya saran, nayantara, poonam bajwa"
2006,Telugu,Kanmani,"sumanth, charmme"
2006,Telugu,Srinivasa Reddy,"sivaji, krishna bhagavaan, ali"
2006,Telugu,S. V. Krishna Reddy,"srikanth, venu madhav, ali"
2006,Telugu,Nidhi Prasad,rajendra prasad
2006,Telugu,Vishnuvardhan,"bharath, arya, pooja, padmapriya"
2006,Telugu,Mohan Krishna Indraganti,"raja, bhoomika chawla, s. p. balu"
2006,Telugu,Amma Rajasekhar,"ravi teja, ileana d'cruz"
2006,Telugu,Krishna Vamsi,"jr. ntr, charmy kaur, ileana d'cruz"
2006,Telugu,K. Balachander,"uday kiran, vimala raman"
2006,Telugu,Bhimaneni Srinivasa Rao,"pawan kalyan, asin, sandhya"
2007,Telugu,Puri Jagannadh,"Allu Arjun, Hansika Motwani, Ali"
2007,Telugu,V. V. Vinayak,"Prabhas, Nayantara"
2007,Telugu,Srinivas,"Navdeep, Ekta Khosla"
2007,Telugu,P. Vasu,"Balakrishna, Sneha, Meera Jasmine"
2007,Telugu,Chandra Siddhartha,"Sumanth, Parvati Melton, Sneha"
2007,Telugu,Vamsy,"Aryan Rajesh, Hamsa Nandini, Tanikella Bharani, Jaya Prakash Reddy"
2007,Telugu,Teja,"Kalyan Ram, Kajal Aggarwal, Sayaji Shinde"
2007,Telugu,Lawrence,"Vedika, Rajkiran"
2007,Telugu,Chandra Sekhar Yeleti,"Gopichand, Neha Jhulka, Nassar"
2007,Telugu,Jeeva,"Vinay Rai, Sadha, Tanisha Mukherjee"
2007,Telugu,Sukumar,"Ram, Isha Sahani"
2007,Telugu,B. Jaya,"Ali, Sindhuri, Nicole, Kota, Bharani, Vadivukkarasi, AVS, Mallikarjuna Ra"
2007,Telugu,Srinu Vytla,"Vishnu, Genelia D'Souza"
2007,Telugu,K. Vijaya Bhaskar,"Sumanth, Sadha, Kamalinee Mukherjee"
2007,Telugu,Selvaraghavan,"Venkatesh, Trisha"
2007,Telugu,Vamsi,"Prabhas, Ileana D'Cruz"
2007,Telugu,V. N. Aditya,"Siddharth, Ileana D'Cruz"
2007,Telugu,Posani Krishna Murali,"Srikanth, Chalapathi Rao, Mumaith Khan"
2007,Telugu,Srinu Vaitla,"Ravi Teja, Nayantara"
2007,Telugu,S. Shankar,"Rajinikanth, Shriya"
2007,Telugu,Sriwass,"Gopichand, Anushka"
2007,Telugu,Priyadarshini Ram,"Upendra, Priyamani"
2007,Telugu,Prabhu Deva,"Chiranjeevi, Srikanth, Karishma Kotak"
2007,Telugu,Muppalaneni Shiva,"Allari Naresh, Venu, Mallika Kapoor, Parvati Melton"
2007,Telugu,S. S. Rajamouli,"Jr. NTR, Priyamani, Mamta Mohandas"
2007,Telugu,Srinivas Reddy,"Srikanth, Venu, Reemma Sen"
2007,Telugu,Krishna Vamsi,"Navdeep, Kajal Aggarwal, Sindhu Menon, Siva Balaji"
2007,Telugu,Puri Jagannadh,"Ram Charan Teja, Neha Sharma"
2007,Telugu,Sekhar Kammula,"Varun Sandesh, Tamannaah Bhatia, Nikhil, Gayatri Rao"
2007,Telugu,Boopathy Pandian,"Vishal, Priyamani, Ashish Vidyarthi"
2007,Telugu,Boyapati Srinu,"Venkatesh, Nayantara, Ramya Krishnan"
2007,Telugu,Surender Reddy,"Mahesh Babu, Amrita Rao"
2007,Telugu,K Shahjahan,"Tarun Kumar, Priyamani, Sunil"
2007,Telugu,G. Nageswara Reddy,"Allari Naresh, L. B. Sriram, Kovai Sarala, Ali, J P"
2007,Telugu,Amma Rajasekhar,"Nitin, Sadha, Prakash Raj"
2007,Telugu,Osho Tulasiram,"Sivaji, Charmee Kaur, Jeeva"
2007,Telugu,Ravi Babu,"Bhumika Chawla, Abbas"
2007,Telugu,Lawrence,"Nagarjuna, Anushka"
2008,Telugu,V.V. Vinayak,"Ravi Teja, Trisha Krishnan, Bramhanandam"
2008,Telugu,Y.V.S. Chowdary,"Balakrishna Nandamuri, Nisha Kothari, Anushka"
2008,Telugu,Raj Aditya,"Sumanth, Kajal Agarwal"
2008,Telugu,Dasaradh,"Jagapati Babu, Anushka, Bhumika Chawla"
2008,Telugu,Neelakanta,"Raja, Genelia D'Souza"
2008,Telugu,M.S. Raju,"Vinay Rai, Meera Chopra"
2008,Telugu,P. Vasu,"Vishnu, Nagarjuna Akkineni"
2008,Telugu,J. D. Chakravarthy,"Jagapati Babu, J. D. Chakravarthy, Mamta Mohandas"
2008,Telugu,Mullapudi Vara,"Allari Naresh, Rajiv Kanakala, Preeti Jhangiani, Sindhu Tolani"
2008,Telugu,Bapu,"Charmee Kaur, Allari Naresh"
2008,Telugu,Giri Babu,"Raja, Sneha"
2008,Telugu,Radhakrishna Jagarlamudi,"Allari Naresh, Sharwanand, Kamalinee Mukherjee"
2008,Telugu,Raj Kapoor,"Uday Kiran, Diya"
2008,Telugu,Agathiyan,"Aakash, Sridevika, Vani, Vijay Kumar, Saranya, Aiswarya"
2008,Telugu,Srinivas C. C,"Meka Srikanth, Jagapathi Babu, Kaveri Jha"
2008,Telugu,Kuchipudi Venkat,"Krishna Bhagawan, Simran"
2008,Telugu,Allani Sridhar,"Sunil Sharma, Kausha Rach, Suman, Puneet Issar"
2008,Telugu,Trivikram Srinivas,"Pawan Kalyan, Ileana D'Cruz, Mukesh Rishi"
2008,Telugu,K. Vijaya Bhaskar,"Tarun, Ileana D'Cruz, Jagapati Babu"
2008,Telugu,G. Ravicharan Reddy,"Sushanth, Tamanna Bhatia, Jayasudha"
2008,Telugu,Simbudevan,"Santhanam, Prakash Raj, Jyothirmayi, Madhumitha"
2008,Telugu,Srinivasa Reddy,"Allari Naresh, Krishna Bhagawan, Farzana"
2008,Telugu,Puri Jagannadh,"Prabhas, Sanjana, Trisha Krishnan"
2008,Telugu,Meher Ramesh,"Jr. NTR, Hansika Motwani, Tanisha Mukherjee"
2008,Telugu,K. Raghavendra Rao,"balakrishna nandamuri, sneha, tabu"
2008,Telugu,Bhaskar,"Allu Arjun, Sheela, Prakash Raj"
2008,Telugu,Sreenu Vaitla,"Ram, Genelia D'Souza, Bramhanandam"
2008,Telugu,Saravana Sakthi,"Ramana, Sangeetha, J. K. Ritheesh"
2008,Telugu,E. Srikanth Nahatha,"Sivaji, Ravi Krishna, Brahmanandam, Kamalinee Mukherjee"
2008,Telugu,Harsha Vardhan,"Kalyan Ram, Priyamani, Sindhu Tolani"
2008,Telugu,Raja Vannem Reddy,"Sivaji, Meera Jasmine"
2008,Telugu,A. Karunakaran,"Yasho Sagar, Sneha Ullal, Sunil"
2008,Telugu,P. Vasu,"Rajinikanth, Jagapati Babu"
2008,Telugu,Udayasankar,"Ravi Teja, Krishna, Anushka Shetty, Chandra Mohan, Pradeep Rawat"
2008,Telugu,Eashwar,"Allari Naresh, Manjari Phadnis"
2008,Telugu,Bharat Parepalli,"Suman, Sneha, Kota Srinivasa Rao"
2008,Telugu,Hari Yelleti,"Nikhil Siddharth, Naresh, Megha Burman, Venu"
2008,Telugu,Mohan Krishna Indraganti,"Nani, Swati Reddy"
2008,Telugu,Yogie,"Venkatesh, Anushka Shetty, Mamta Mohandas"
2008,Telugu,Madan,"Uday Kiran, Aditi Sharma"
2008,Telugu,Sreenu Vaitla,"Nagarjuna Akkineni, Trisha Krishnan"
2008,Telugu,Vamsikrishna Akella,"Jagapathi babu, Kalyani, Bramhanandam"
2008,Telugu,J Siva Kumar,"Gopichand, Anushka"
2008,Telugu,V. R. Prathap,"Dr. Rajasekhar, Meera Jasmine, Aarti Agarwal"
2008,Telugu,Teja,"Raja Abel, Ishana, Anup Kumar, Dharmavarapu Subramanyam"
2008,Telugu,Srikanth Addala,"Varun Sandesh, Shweta Prasad, Prakash Raj"
2008,Telugu,Ajay Sastry,"Manoj Manchu, Sneha Ullal, Riya Sen"
2008,Telugu,Lakshmikanth Chenna,"Ravi Krishna, Rekha Vedavyas, Tamanna Bhatia"
2008,Telugu,Anish Kuruvilla,Kamal Kamaraju
2008,Telugu,Sai Kiran Adivi,"Sonia Deepti, Chinni Jayaram Yadav"
2008,Telugu,Ravi Babu,"Tanish, Madhavi Latha"
2008,Telugu,Puri Jagannadh,"Ravi Teja, Siya, Mumaith Khan"
2009,Telugu,Krishna Vamsi,"Tarun, Genelia D'Souza"
2009,Telugu,B Gopal,"Ram, Hansika Motwani, Sheela"
2009,Telugu,Kodi Ramakrishna,"Anushka, Sonu Sood"
2009,Telugu,Kishore Kumar,"Siddharth, Tamannaah"
2009,Telugu,NS Murthy,"Ajay, Madhurima, Suresh Gopi"
2009,Telugu,V Eeswar Reddy,"Charmy, Nishan"
2009,Telugu,Meher Ramesh,"Prabhas, Anushka"
2009,Telugu,A. Kodandarami Reddy,Mumaith Khan in dual role
2009,Telugu,Surender Reddy,"Ravi Teja, Ileana D'Cruz, Shaam"
2009,Telugu,Chandra Sekhar Yeleti,"Manoj Manchu, Payal Ghosh"
2009,Telugu,Karuna Prakash,"Charmy Kaur, Manjula Ghattamaneni"
2009,Telugu,Raj Pippalla,"Sumanth, Kriti Kharbanda, Trinetrudu"
2009,Telugu,Surya Pratap,"Sushanth, Sneha Ullal"
2009,Telugu,Marthand K. Shankar,"Varun Sandesh, Vimala Raman"
2009,Telugu,Anand Ranga,"Siddharth, Shamili, Sunil, Saptagiri, Napoleon"
2009,Telugu,Satish Kasetty,"Kamal Kamaraju, Swati Reddy"
2009,Telugu,S. S. Rajamouli,"Ram Charan Teja, Kajal Agarwal"
2009,Telugu,Parasuram (Bujji),"Ravi Teja, Nayantara, Sonu Sood"
2009,Telugu,Siva,"T. Gopichand, Trisha Krishnan"
2009,Telugu,Chaitanya Dantuluri,"Nara Rohit, Vedhika"
2009,Telugu,M. Saravanan,"Ram, Kajal Aggarwal"
2009,Telugu,Chakri Toleti,"Kamal Haasan, Venkatesh"
2009,Telugu,Siva Nageswara Rao,"Santosh Samrat, Chaitanya Krishna, Dipa Shah, Piaa Bajpai"
2009,Telugu,Krishna Vamsi,"srikanth, bhavana"
2009,Telugu,Naren Kondepati,"Kalyan Ram, Hansika Motwani"
2009,Telugu,Puri Jagannadh,"Prabhas, Kangana Ranaut, Sonu Sood"
2009,Telugu,Sai Kiran Adivi,"Krishnudu, Saranya Mohan"
2009,Telugu,E. V. V. Satyanarayana,"Allari Naresh, Kamna Jethmalani"
2009,Telugu,Sandeep Gunnam,"Varun Sandesh, Neha Sharma"
2009,Telugu,Sukumar,"Allu Arjun, Kajal Agarwal, Navdeep"
2009,Telugu,Madan,"Jagapati Babu, Priyamani"
2009,Telugu,Ravi Babu,"Bhoomika Chawla, Taraka Ratna, Sneha, Sindhura Gadde"
2009,Telugu,Jaya Ravindra,"Sairam Shankar, Bindu Madhavi, Sayaji Shinde"
2009,Telugu,Radha Mohan,"Prakash Raj, Trisha Krishnan, Jagapati Babu"
2010,Telugu,V. V. Vinayak,"NTR Jr, Nayantara, Sheela, Sayaji Shinde, Brahmanandam"
2010,Telugu,Seenu Vytla,"Venkatesh, Trisha Krishnan, Brahmanandam"
2010,Telugu,Samudrakani,"Ravi Teja, Allari Naresh, Siva Balaji, Priyamani, Abhinaya"
2010,Telugu,Eshwar,"Nitin, Hansika Motwani, Brahmanandam"
2010,Telugu,Kiran Kumar,"Nagarjuna, Mamta Mohandas, Chitrangada Singh"
2010,Telugu,Sekhar Kammula,"Rana Daggubati, Richa Gangopadhyay, Priya Anand"
2010,Telugu,Gautham Menon,"Naga Chaitanya, Samantha Ruth Prabhu, Krishnudu"
2010,Telugu,Ravi Yadav,"Varun Sandesh, Anita Galler, Shraddha Das"
2010,Telugu,Gunasekhar,"Arya, Allu Arjun, Bhanu Mehra"
2010,Telugu,Satti Babu,"Allari Naresh, Nidhi"
2010,Telugu,Manmohan,"Prithviraj, Srikanth, Kamalini Mukherjee, Sanjana"
2010,Telugu,Deva Katta,"Sharvanand, Ruby Parihar, Sai Kumar"
2010,Telugu,Karunakaran,"Prabhas, Kajal Aggarwal, Shraddha Das"
2010,Telugu,Boyapati Srinu,"Balakrishna, Nayantara, Sneha Ullal, Namitha"
2010,Telugu,,"Rajiv Kanakala, Kota Srinivasan Rao, Ahuti Prasad"
2010,Telugu,,"Ram, Priya Anand, Arjun Sarja, Bindu Madhavi"
2010,Telugu,Puri Jagannadh,"Gopichand, Priyamani, Nassar"
2010,Telugu,,"Aravind Kumar, Akarsha, Saikumar"
2010,Telugu,Radhakrishna Jagarlamudi,"Allu Arjun, Manchu Manoj Kumar, Anushka Shetty"
2010,Telugu,,"Anushka Shetty, Vijay Samrat, Bramanandam"
2010,Telugu,,"Malashri, Ashish Vidhyarthi, Sudhakar Naidu"
2010,Telugu,K.Raghavendra Rao,"Manoj Manchu, Taapsee Pannu, Mohan Babu"
2010,Telugu,R.Narayana Murthy,"R. Narayana Murthy, Vijayaranga Raju"
2010,Telugu,Madhura Sreedhar,"Chitralekha, Anil, Gundu Hanumantha Rao"
2010,Telugu,K. Viswanath,"Allari Naresh, Manjari Phadnis, Sarath Babu"
2010,Telugu,S. S. Rajamouli,"Sunil, Saloni Aswani, Brahmaji"
2010,Telugu,Gopichand,"Ravi Teja, Shriya Saran, Srihari"
2010,Telugu,,"Parthu, Aarthi Puri, Rajendra Prasad"
2010,Telugu,,"Jagapati Babu, Vimala Raman, Kota Srinivasa Rao"
2010,Telugu,,"Harsh Vardhan Rane, Haripriya, Vijay Samrat, Trinetrudu, Karthik Sabesh, Bhakti Punjani, Aditi Chengappa"
2010,Telugu,S. J. Surya,"Pawan Kalyan, Nikesha Patel"
2010,Telugu,Vamsi,"Allari Naresh, Madhurima, Srinivas Avasarala"
2010,Telugu,Trivikram Srinivas,"Mahesh Babu, Anushka Shetty"
2010,Telugu,Vamsi Paidipally,"NTR Jr, Kajal Aggarwal, Samantha"
2010,Telugu,,"Siddharth, Pranitha"
2010,Telugu,,"Kalyan Ram, Shaam, Sana Khan, Saranya Mohan"
2010,Telugu,Sampath Nandi,"Varun Sandesh, Nisha Aggarwal"
2010,Telugu,Bhaskar,"Ram Charan Teja, Genelia D'Souza, Shazahn Padamsee"
2010,Telugu,E. V. V. Satyanarayana,"Allari Naresh, Kamna Jethmalani, Krishna Bhagawan"
2010,Telugu,P. Vasu,"Venkatesh, Anushka Shetty, Richa Gangopadhyay, Shraddha Das, Kamalinee Mukherjee, Poonam Kaur"
2010,Telugu,Veeru Potla,"Nagarjuna, Anushka Shetty, Priyamani"
2011,Telugu,Prasad Rayala,"Akshay, Rithika Sood, Tashu Kaushik"
2011,Telugu,Dasari Narayana Rao,"Nandamuri Balakrishna, Sheela, Amisha Patel, Neha Dhupia"
2011,Telugu,Harish Shankar,"Ravi Teja, Richa Gangopadhyay, Deeksha Seth"
2011,Telugu,Prakash Kovelamudi,"Siddharth, Shruti Haasan, Lakshmi Manchu"
2011,Telugu,Mohan Krishna Indraganti,"Sumanth, Swati Reddy"
2011,Telugu,Nandini Reddy,"Nani, Nithya Menen"
2011,Telugu,BVS Ravi,"Gopichand, Deeksha Seth, Jayasudha, Prakash Raj"
2011,Telugu,Venu Pal,"Rajiv Kanakala, Karan, Parineeta"
2011,Telugu,N.Shankar,"Jagapati Babu, Sandeep, Meera Nandan, Smriti Irani, K. Chandrashekar Rao"
2011,Telugu,A.D.V. Babu Raj,"Suresh Gopi, Saikumar, Vani Viswanath"
2011,Telugu,Radha Mohan,"Akkineni Nagarjuna, Poonam Kaur, Prakash Raj, Sana Khan"
2011,Telugu,Hemant Madhukar,"Vishnu Manchu, Taapsee Pannu, Prakash Raj"
2011,Telugu,Gautham Menon,"Sameera Reddy, Veera Bahu"
2011,Telugu,Ram Gopal Varma,"Sunil, Swati Reddy, Brahmanandam, Sakshi Gulati"
2011,Telugu,Veera Brahmam,"Allari Naresh, Ritu Barmecha"
2011,Telugu,Ramana Salva,"Varun Sandesh, Suma Bhattacharya"
2011,Telugu,Vijaya Bhaskar. K,"Aadi, Sindhu Tolani, Isha Chawla"
2011,Telugu,"Ram Gopal Varma, Puri Jagannadh","Ravi Teja, Charmy Kaur, Prakash Raj, Lakshmi Manchu, Sunil"
2011,Telugu,V. N. Aditya,"Sumanth, Priyamani, Vimala Raman"
2011,Telugu,Duniya Soori,"Puneeth Rajkumar, Bhavana (Malayalam actress), Rangayana Raghu"
2011,Telugu,Arun Prasad P. A.,"Jagapathi Babu, Vimala Raman, Brahmanandam"
2011,Telugu,Babu Sivan,"Vijay, Anushka Shetty, Sayaji Shinde"
2011,Telugu,Meher Ramesh,"Jr. NTR, Ileana D'Cruz, Manjari Phadnis, Jackie Shroff, Sonu Sood"
2011,Telugu,Deepthi,"Tanish, Bhama, K. Vishwanath, Chandramohan"
2011,Telugu,Vinayan,"Meghana Raj, Thilakan, Madhav, Captain Raju"
2011,Telugu,Jayanth C. Paranjee,"Pawan Kalyan, Trisha Krishnan, Kriti Kharbanda"
2011,Telugu,Dasrath,"Prabhas, Kajal Aggarwal, Taapsee Pannu, Prakash Raj, Brahmanandam"
2011,Telugu,Puri Jagannath,"Rana Daggubati, Ileana D'Cruz, Abhimanyu Singh, Mumaith Khan"
2011,Telugu,Sukumar,"Naga Chaitanya, Tamannaah Bhatia, Tara Alisha"
2011,Telugu,G. Nageshwar Reddy,"Allari Naresh, Poorna"
2011,Telugu,K. V. Anand,"Jiiva, Ajmal Ameer, Karthika Nair, Pia Bajpai"
2011,Telugu,Ramesh Varma,"Ravi Teja, Kajal Aggarwal, Taapsee Pannu, Manjari Phadnis, Brahmanandam"
2011,Telugu,A. Venkatachalam,"Aadhi, Sindhu Menon, Nandha, Saranya Mohan"
2011,Telugu,Satyadeep Reddy,"Krishnudu, Ajay, Randhir, Tashu Kaushik, Sana, Subbaraju"
2011,Telugu,Siddique,"Nitin, Meera Chopra, Abbas, Kota Srinivasa Rao"
2011,Telugu,V.V. Vinayak,"Allu Arjun, Tamannaah Bhatia, Prakash Raj"
2011,Telugu,Bala,"Arya, Vishal Krishna, Madhu Shalini, Janani Iyer"
2011,Telugu,Jayendra,"Siddharth, Nithya Menen, Priya Anand, Tanikella Bharani, Mouli, Geetha"
2011,Telugu,Premraj,"Jagapathi Babu, Charmee Kaur, Sayaji Shinde, Babu Mohan, M. S. Narayana"
2011,Telugu,Neelakanta,"Srikanth, Kamalini Mukherjee, Ajay"
2011,Telugu,Venkat Prabhu,"Vaibhav Reddy, Jai, Pia Bajpai, Sneha, Premji Amaren, Melanie Marie"
2011,Telugu,A. L. Vijay,"Vikram, Anushka Shetty, Amala Paul, Sara Arjun"
2011,Telugu,Lawrence Raghavendra,"Lawrence Raghavendra, Lakshmi Rai, Sarath Kumar"
2011,Telugu,Joshi,"Prithviraj, Bhavana (Malayalam actress), Narain"
2011,Telugu,Anjana Ali Khan,"Nani, Karthik Kumar, Nithya Menen, Bindu Madhavi"
2011,Telugu,Suseenthiran,"Karthi, Kajal Aggarwal"
2011,Telugu,R. Parthiban,"R. Parthiban, Namitha, Sudhakar Naidu"
2011,Telugu,Santosh Srinivas,"Ram, Hansika Motwani, Aksha Pardasany, Swati Reddy, Sonu Sood, Brahmanandam"
2011,Telugu,Ajay Bhuyan,"Naga Chaitanya, Kajal Aggarwal, Samiksha, Sreeram, Brahmanandam, Kelly Dorjee"
2011,Telugu,Gokul,"Jiiva, Shriya Saran, Prakash Raj"
2011,Telugu,Santosh Sivan,"Prithviraj, Prabhu Deva, Genelia D'Souza, Tabu, Nithya Menen, Vidya Balan, Arya"
2011,Telugu,Ravi Chavali,"Sumanth, Vedhika"
2011,Telugu,J. D. Chakravarthy,"J. D. Chakravarthy, Gajala, Brahmanandam, Asha Saini"
2011,Telugu,Venkat Prabhu,"Ajith Kumar, Arjun, Trisha Krishnan, Anjali, Vaibhav Reddy, Lakshmi Rai, Andrea Jeremiah"
2011,Telugu,Rajamithran,"Aadhi, Meera Nandan"
2011,Telugu,R. Kannan,"Jiiva, Taapsee Pannu, Nandha"
2011,Telugu,Srinu Vaitla,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Sonia Deepti, Prakash Raj"
2011,Telugu,Seetarama Raju,"Allari Naresh, Sneha Ullal"
2011,Telugu,Surender reddy,"Jr. NTR, Tamannaah, Shaam"
2011,Telugu,G. Ashok,"Nani, Haripriya, Bindu Madhavi"
2011,Telugu,A. R. Murugadoss,"Suriya, Shruti Hassan, Abhinaya, Johnny Tri Nguyen"
2011,Telugu,Ravi Babu,"Havish, Ajay, Prasad Barve, Vijay Sai, Yami Gautam, Sarayu, Remya Nambeesan"
2011,Telugu,Krishna Vamshi,"Gopichand, Taapsee Pannu, Shraddha Das"
2011,Telugu,Venu Sriram,"Siddarth, Shruti Haasan, Navdeep, Hansika Motwani"
2011,Telugu,Bapu,"Akkineni Nageswara Rao, Nandamuri Balakrishna, Srikanth, Nayantara, Jayasudha, K. R. Vijaya, Saikumar"
2011,Telugu,Chinni Krishna,"Nikhil Siddharth, Pooja Bose"
2011,Telugu,Parashuram,"Nara Rohit, Nisha Aggarwal, Prakash Raj"
2011,Telugu,Samuthirakani,"M. Sasikumar, Swati Reddy, Allari Naresh, Vasundhara"
2011,Telugu,Vivek Krishna,"Naga Chaitanya, Amala Paul, Prabhu"
2011,Telugu,Vishnuvardhan,"Pawan Kalyan, Sarah Jane Dias, Jackie Shroff, Anjali Lavania"
2011,Telugu,Subha Selvam,"Uday Kiran, Shweta Prasad, Ashish Vidyarthi"
2011,Telugu,Vijayendra Prasad,"Akkineni Nagarjuna, Sneha, Shweta Menon, Baby Aney, Nassar, Pradeep Rawat"
2011,Telugu,Farhan Akhtar,"Shahrukh Khan, Priyanka Chopra, Lara Dutta, Om Puri, Boman Irani, Sameera Reddy"
2011,Telugu,T. Venugopal,"Jagapathi Babu, Priyamani, Shaam"
2011,Telugu,Suseenthiran,"Vikram, Deeksha Seth, K. Vishwanath, Mithra Kurian"
2012,Telugu,Puri Jagannadh,"Mahesh Babu, Kajal Aggarwal, Prakash Raj, Shweta Bhardwaj"
2012,Telugu,Gopichand Malineni,"Venkatesh, Trisha Krishnan, Saloni Aswani, Prakash Raj"
2012,Telugu,Srinu Yajarala,"Taraka Ratna, Sheena Shahabadi, Rajeev Kanakala"
2012,Telugu,Thathineni Satya,"Sudheer Babu, Regina Cassandra"
2012,Telugu,Balaji Mohan,"Siddharth, Amala Paul"
2012,Telugu,Gunasekhar,"Ravi Teja, Deeksha Seth"
2012,Telugu,Veerabhadram,"Sunil, Isha Chawla, Kota Srinivasa Rao"
2012,Telugu,Vikram Kumar,"Nitin Reddy, Nithya Menon, Sindhu Tolani"
2012,Telugu,Ani Kanneganti,"Manoj Manchu, Kriti Kharbanda, Sana Khan"
2012,Telugu,P. Narayana,"Allari Naresh, Sharvanand, Shriya Saran, Vimala Raman"
2012,Telugu,Prakash Toleti,"Rana Daggubati, Genelia D'Souza"
2012,Telugu,B. Jaya,"Aadi, Shanvi"
2012,Telugu,Sampath Nandi,"Ram Charan Teja, Tamanna Bhatia"
2012,Telugu,Boyapati Srinu,"Jr. NTR, Trisha Krishnan, Karthika, Bhanupriya"
2012,Telugu,Harish Shankar,"Pawan Kalyan, Shruti Haasan, Abhimanyu Singh, Suhasini Maniratnam"
